13660,-86.64,-90.4,93.23,,145,0.145,-86.64,-90.4,93.23
13662,-137.1,42.05,-24.53,,147,0.147,-137.1,42.05,-24.53
13663,-55.1,-2.1,-171.72,,148,0.148,-55.1,-2.1,-171.72
13665,-244.33,-27.33,-19.62,,150,0.15,-244.33,-27.33,-19.62
13666,-275.86,-27.33,0,,151,0.151,-275.86,-27.33,0
13668,-282.17,23.13,-107.94,,153,0.153,-282.17,23.13,-107.94
13669,-250.64,-103.02,-4.9,,154,0.154,-250.64,-103.02,-4.9
13671,-86.64,-121.94,-39.25,,156,0.156,-86.64,-121.94,-39.25
13672,7.97,-65.17,-78.5,,157,0.157,7.97,-65.17,-78.5
13673,-55.1,-84.09,-451.39,,158,0.158,-55.1,-84.09,-451.39
13675,-92.95,-71.48,-88.31,,160,0.16,-92.95,-71.48,-88.31
13676,-92.95,-46.25,29.44,,161,0.161,-92.95,-46.25,29.44
13678,-174.95,-27.33,-9.81,,163,0.163,-174.95,-27.33,-9.81
13679,-231.71,-52.56,-210.97,,164,0.164,-231.71,-52.56,-210.97
13680,-225.41,-77.79,-19.62,,165,0.165,-225.41,-77.79,-19.62
13682,-137.1,-65.17,4.91,,167,0.167,-137.1,-65.17,4.91
13683,-61.41,-21.02,24.53,,168,0.168,-61.41,-21.02,24.53
13685,-307.4,-185.01,-78.5,,170,0.17,-307.4,-185.01,-78.5
13686,-17.26,-178.71,-103.03,,171,0.171,-17.26,-178.71,-103.03
13688,-67.72,10.52,-161.91,,173,0.173,-67.72,10.52,-161.91
13689,-137.1,-185.01,412.14,,174,0.174,-137.1,-185.01,412.14
13691,-219.1,16.82,-34.34,,176,0.176,-219.1,16.82,-34.34
13692,-174.95,-71.48,-176.63,,177,0.177,-174.95,-71.48,-176.63
13694,-364.17,-96.71,-44.16,,179,0.179,-364.17,-96.71,-44.16
13696,-149.72,-8.4,19.63,,181,0.181,-149.72,-8.4,19.63
13698,-124.49,-33.63,-4.9,,183,0.183,-124.49,-33.63,-4.9
13699,-143.41,-21.02,-142.28,,184,0.184,-143.41,-21.02,-142.28
13701,-193.87,-27.33,-206.07,,186,0.186,-193.87,-27.33,-206.07
13703,-206.48,-96.71,-142.28,,188,0.188,-206.48,-96.71,-142.28
13704,-326.32,-33.63,-19.62,,189,0.189,-326.32,-33.63,-19.62
13706,115.2,-197.63,-377.79,,191,0.191,115.2,-197.63,-377.79
13707,-4.64,16.82,-171.72,,192,0.192,-4.64,16.82,-171.72
13709,-105.56,-58.86,44.16,,194,0.194,-105.56,-58.86,44.16
13710,-250.64,-71.48,-122.66,,195,0.195,-250.64,-71.48,-122.66
